INFO 2021-06-10 00:16:39,201 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:16:55,905 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:31:56,446 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:33:05,440 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:34:29,321 autoreload 250 F:\Python\Python_Project\python_test_developer\main\settings.py changed, reloading.
INFO 2021-06-10 00:34:31,698 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:35:15,133 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:36:18,026 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:36:33,051 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:36:54,569 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:37:18,731 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:37:41,318 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:38:04,099 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:40:57,905 autoreload 636 Watching for file changes with StatReloader
INFO 2021-06-10 00:43:28,570 autoreload 636 Watching for file changes with StatReloader
WARNING 2021-06-10 00:43:35,184 log 224 Forbidden: /interfaces/
WARNING 2021-06-10 00:43:35,186 basehttp 161 "POST /interfaces/ HTTP/1.1" 403 43
WARNING 2021-06-10 00:43:49,071 log 224 Not Found: /
WARNING 2021-06-10 00:43:49,073 basehttp 161 "GET / HTTP/1.1" 404 2381
WARNING 2021-06-10 00:43:49,203 log 224 Not Found: /favicon.ico
WARNING 2021-06-10 00:43:49,205 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2432
WARNING 2021-06-10 00:43:59,937 log 224 Forbidden: /interfaces/
WARNING 2021-06-10 00:43:59,939 basehttp 161 "GET /interfaces/ HTTP/1.1" 403 5045
INFO 2021-06-10 00:43:59,988 basehttp 161 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2021-06-10 00:43:59,995 basehttp 161 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2021-06-10 00:44:00,001 basehttp 161 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
